,Station Name,Latitude,Longitude,Station Code,Line,Sequence,Distance From Previous,Time From Previous,System
228,Goregaon (East),19.1524492,72.8565966,,Red Line (Line 7),11,1.5,3.0,Mumbai Metro
229,Jogeshwari (East),19.1429455,72.855185,,Red Line (Line 7),12,1.0,2.0,Mumbai Metro
230,Mogra,19.1284364,72.8554558,,Red Line (Line 7),13,1.0,2.0,Mumbai Metro
231,Gundavali,19.1145125,72.8551556,,Red Line (Line 7),14,1.5,3.0,Mumbai Metro
232,Thane,19.186483,72.9757664,TNA,Trans Harbour,1,0.0,0.0,Mumbai Local Train
233,Digha Gaon,19.180800997327868,72.99442850634698,,Trans Harbour,2,5.0,5.5,Mumbai Local Train
234,Airoli,19.15852486400738,72.9994019896676,AIRL,Trans Harbour,3,8.0,8.0,Mumbai Local Train
235,Rabale,19.13663576182148,73.00278230963555,RABE,Trans Harbour,4,3.0,3.0,Mumbai Local Train
236,Ghansoli,19.11631148969089,73.00701965180794,GNSL,Trans Harbour,5,3.0,3.0,Mumbai Local Train
237,Koparkhairne,19.103243448308397,73.01131089305164,KPHN,Trans Harbour,6,3.0,3.0,Mumbai Local Train
238,Turbhe,19.076136825451417,73.01772338482034,TUH,Trans Harbour,7,4.0,4.0,Mumbai Local Train
239,Juinagar,19.05588289317986,73.01825170636249,JNJ,Trans Harbour,8,5.0,5.0,Mumbai Local Train
240,Nerul,19.03358411300107,73.01815902305852,NEU,Trans Harbour,9,3.0,3.0,Mumbai Local Train
241,Seawoods,19.0218192,73.0191588,SWDV,Trans Harbour,10,3.0,3.0,Mumbai Local Train
242,CBD Belapur,19.0190075,73.0391304,BEPR,Trans Harbour,11,4.0,4.0,Mumbai Local Train
243,Kharghar,19.0258415,73.0593001,KHAG,Trans Harbour,12,4.0,4.0,Mumbai Local Train
244,Mansarovar,19.0164338,73.0806552,MANR,Trans Harbour,13,3.0,3.0,Mumbai Local Train
245,Khandeshwar,19.0073498,73.0952827,KNDS,Trans Harbour,14,3.0,3.0,Mumbai Local Train
246,Panvel,18.9894239,73.122695,PNVL,Trans Harbour,15,3.0,3.0,Mumbai Local Train
247,Churchgate,18.9354797,72.8269394,CCG,Western,1,0.0,0.0,Mumbai Local Train
248,Marine Lines,18.945764,72.8237193,MEL,Western,2,1.0,3.0,Mumbai Local Train
249,Charni Road,18.9518437,72.8182401,CYR,Western,3,1.0,2.0,Mumbai Local Train
250,Grant Road,18.9633549,72.8158261,GTR,Western,4,1.0,3.0,Mumbai Local Train
251,Mumbai Central,18.9695855,72.8193152,MMCT,Western,5,1.0,2.0,Mumbai Local Train
252,Mahalaxmi,18.979467,72.8254006,MX,Western,6,1.0,3.0,Mumbai Local Train
253,Lower Parel,18.99568,72.8302756,PL,Western,7,2.0,3.0,Mumbai Local Train
254,Prabhadevi,19.0074717,72.8358965,PBHD,Western,8,1.0,3.0,Mumbai Local Train
255,Dadar,19.0177342,72.8437523,D/DR/DDR,Western,9,1.0,2.0,Mumbai Local Train
256,Matunga Road,19.0278149,72.8466813,MRU,Western,10,2.0,2.0,Mumbai Local Train
257,Mahim Junction,19.0406634,72.8466038,MM,Western,11,1.0,3.0,Mumbai Local Train
258,Bandra,19.0549792,72.8402203,B/BA,Western,12,2.0,4.0,Mumbai Local Train
259,Khar Road,19.0682411,72.8400412,KHAR,Western,13,2.0,3.0,Mumbai Local Train
260,Santa Cruz,19.0815223,72.8417565,STC,Western,14,1.0,2.0,Mumbai Local Train
261,Vile Parle,19.0999098,72.8440038,VLP,Western,15,2.0,3.0,Mumbai Local Train
262,Andheri,19.1196976,72.8464205,A/AD/ADH,Western,16,2.0,5.0,Mumbai Local Train
